CHEMBL7054	C[C@](O)(CO)c1cc2c3c(ccc2o1)[C@@H]1COc2cc(O)ccc2[C@@H]1O3
CHEMBL6829	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccccc2)cc1
CHEMBL7247	Nc1nc(O)c2ncn(CCCCCCCP(=O)(O)CP(=O)(O)O)c2n1
CHEMBL6897	Nc1nc(O)c2c(Sc3ccc4ccccc4c3)cccc2n1
CHEMBL6590	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)NCc2ccoc2)cc1
CHEMBL6898	CC(C)NC1CCc2cc(O)c(O)cc2[C@H]1O
CHEMBL6634	CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)C(N)c3ccccc3)[C@H]2SC1
CHEMBL3310076	CCCNC(=O)Cn1c(=O)c(C(=O)NC)c(O)c2ncc(Cc3ccc(F)cc3)cc21
CHEMBL1163156	O=c1c2cn(-c3ccc(O)cc3)nc2c2ccccc2n1O
CHEMBL3310512	CN(C)S(=O)(=O)c1ccc(O)c2ncccc12
CHEMBL3310517	Cc1ccc2c(S(=O)(=O)N(C)C)cc(Br)c(O)c2n1
CHEMBL7108	COc1ccc(S(=O)(=O)N2CN(C(C)(C)C)C(=O)C[C@@H]2C(=O)NO)cc1
CHEMBL3310527	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1cccc(Br)c1
CHEMBL7416	Cc1cccc2nc(N)nc(O)c12
CHEMBL7111	NS(=O)(=O)c1ccc(/C=C/c2cccc(O)c2)cc1
CHEMBL7222	Cc1ccc2nc(N)nc(O)c2c1
CHEMBL3310530	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1cccc(O)c1
CHEMBL3310540	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccc(C)cc1
CHEMBL7267	CCCc1ccc(OCCCc2cc3c(cc2O)CCO3)cc1
CHEMBL7269	Cc1nnc2nc3ccccc3n2c1O
CHEMBL3310397	N#Cc1cnc(-c2nc(CC(=O)N[C@@H](CO)c3ccccc3)cs2)c(O)c1
CHEMBL3310650	CNS(=O)(=O)c1cc(S(=O)(=O)NC)c2ccc(C)nc2c1O
CHEMBL7000	Nc1nc(O)c2cc(S(=O)(=O)c3ccc(Cl)c(Cl)c3)ccc2n1
CHEMBL3310403	Cc1sc(-c2ncc(C#N)c(C)c2O)nc1CC(=O)NCCc1ccccn1
CHEMBL7136	CC(=O)Nc1nc(O)c2cc(S(=O)(=O)c3ccc4ccccc4c3)ccc2n1
CHEMBL7137	COc1cc2cc3c(O)ncnc3nc2cc1OC
CHEMBL7517	Oc1cc2c(cc1Sc1ccncc1)OCC2
CHEMBL3310652	CCN(CC)S(=O)(=O)c1cc(S(=O)(=O)N(CC)CC)c2ccc(C)nc2c1O
CHEMBL7025	Oc1[nH]c(Br)nc2nncc1-2
CHEMBL7113	Oc1c(-c2ccccc2)nnc2nc3ccccc3n12
CHEMBL3310405	CCNC(=O)Cc1nc(-c2ncc(C#N)c(C)c2O)sc1C
CHEMBL7224	CCOC(=O)C1=C(O)C(=O)N(C2c3ccccc3-c3ccccc32)C1
CHEMBL7339	COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1
CHEMBL3310668	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1ccc(C#N)cc1
CHEMBL7183	CCOC(=O)C1=C(O)C(=O)N(Cc2ccc(Cl)cc2)C1
CHEMBL7185	N[C@@H]1CCc2cc(O)c(O)cc2[C@H]1O
CHEMBL7186	Oc1ccc2c(c1O)CCCC2C1=NCCN1
CHEMBL7203	CCC(c1ccc(O)cc1)C(CCCl)c1ccc(O)cc1
CHEMBL3310427	COc1cc(O)c(Br)cc1/C=C1\SC(=O)NC1=O
CHEMBL7424	CCCCCCCCCCCc1cc(O)cc(=O)o1
CHEMBL7426	Oc1[nH]c(Br)nc2nnc(Br)c1-2
CHEMBL3310676	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)Nc1cncnc1
CHEMBL3310685	COC(=O)c1c(O)cc(O)c(Cl)c1CCC(=O)N(O)c1ccccc1
CHEMBL7273	Oc1cc2c(cc1CCCSc1ccccc1)OCC2
CHEMBL7206	COc1ccc2c(c1O)-c1cccc3c1C(C2)N(CCOCCCl)CC3
CHEMBL7657	Oc1cc2c(cc1CCCNc1ccccc1)OCC2
CHEMBL7658	CCOC(=O)C1=C(O)C(=O)N(Cc2cccc3ccccc23)C1
